Date,Open,High,Low,Close,Adj Close,Volume,Price_Linear
2023-08-06,29043.70117,29160.82227,28963.83398,29041.85547,29041.85547,7269806994,
2023-08-07,29038.51367,29244.28125,28724.14063,29180.57813,29180.57813,13618163710,
2023-08-08,29180.01953,30176.79688,29113.81445,29765.49219,29765.49219,17570561357,
2023-08-09,29766.69531,30093.43555,29376.80078,29561.49414,29561.49414,18379521213,
2023-08-10,29563.97266,29688.56445,29354.44727,29429.5918,29429.5918,11865344789,
2023-08-11,29424.90234,29517.77344,29253.51758,29397.71484,29397.71484,10195168197,29395.80234
2023-08-12,29399.78711,29465.11328,29357.58789,29415.96484,29415.96484,6194358008,29466.97422
2023-08-13,29416.59375,29441.43359,29265.80664,29282.91406,29282.91406,7329897180,29514.05156
2023-08-14,29283.26367,29660.25391,29124.10547,29408.44336,29408.44336,14013695304,29417.53594
2023-08-15,29408.04883,29439.12109,29088.85352,29170.34766,29170.34766,12640195779,29386.92578
2023-08-16,29169.07422,29221.97656,28701.7793,28701.7793,28701.7793,14949271904,29335.07695
2023-08-17,28699.80273,28745.94727,25409.11133,26664.55078,26664.55078,31120851211,29195.88984
2023-08-18,26636.07813,26808.19531,25668.92188,26049.55664,26049.55664,24026236529,28645.60703
2023-08-19,26047.83203,26249.44922,25802.4082,26096.20508,26096.20508,10631443812,27998.93555
2023-08-20,26096.86133,26260.68164,26004.31445,26189.58398,26189.58398,9036580420,27336.48789
2023-08-21,26188.69141,26220.20117,25846.08789,26124.14063,26124.14063,13371557893,26740.33516
2023-08-22,26130.74805,26135.50781,25520.72852,26031.65625,26031.65625,14503820706,26224.80742
2023-08-23,26040.47461,26786.89844,25804.99805,26431.64063,26431.64063,16985265785,26098.22852
2023-08-24,26431.51953,26554.91016,25914.92578,26162.37305,26162.37305,12871532023,26174.64531
2023-08-25,26163.67969,26248.10352,25786.8125,26047.66797,26047.66797,12406045118,26187.87891
2023-08-26,26047.23438,26107.38477,25983.87891,26008.46289,26008.46289,6034817316,26159.4957
2023-08-27,26008.24219,26165.37305,25965.09766,26089.69336,26089.69336,6913768611,26136.36016
2023-08-28,26089.61523,26198.57813,25880.59961,26106.15039,26106.15039,11002805166,26147.96758
2023-08-29,26102.48633,28089.33789,25912.62891,27727.39258,27727.39258,29368391712,26082.86953
2023-08-30,27726.08398,27760.16016,27069.20703,27297.26563,27297.26563,16343655235,26395.87344
2023-08-31,27301.92969,27456.07813,25752.92969,25931.47266,25931.47266,20181001451,26645.79297
2023-09-01,25934.02148,26125.86914,25362.60938,25800.72461,25800.72461,17202862221,26630.39492
2023-09-02,25800.91016,25970.28516,25753.09375,25868.79883,25868.79883,10100387473,26572.60117
2023-09-03,25869.47266,26087.14844,25817.03125,25969.56641,25969.56641,8962524523,26525.13086
2023-09-04,25968.16992,26081.52539,25657.02539,25812.41602,25812.41602,10680635106,26173.56562
2023-09-05,25814.95703,25858.375,25589.98828,25779.98242,25779.98242,11094740040,25876.5957
2023-09-06,25783.93164,25953.01563,25404.35938,25753.23633,25753.23633,12752705327,25846.29766
2023-09-07,25748.3125,26409.30273,25608.20117,26240.19531,26240.19531,11088307100,25836.8
2023-09-08,26245.20898,26414.00586,25677.48047,25905.6543,25905.6543,10817356400,25911.0793
2023-09-09,25905.42578,25921.97656,25810.49414,25895.67773,25895.67773,5481314132,25898.29688
2023-09-10,25895.21094,25978.13086,25640.26172,25832.22656,25832.22656,7899553047,25914.94922
2023-09-11,25831.71484,25883.94727,24930.29688,25162.6543,25162.6543,14600006467,25925.39805
2023-09-12,25160.6582,26451.93945,25133.07813,25833.34375,25833.34375,18657279324,25807.28164
2023-09-13,25837.55469,26376.11328,25781.12305,26228.32422,26228.32422,13072077070,25725.91133
